design,#input,#output,#latch,#and,#level
6s417.aig,799,13,11,3305,35755
6s271.aig,208,122,10602,121021,118
6s350.aig,2281,60,243399,1559143,194
6s112.aig,56,6,0,6799,112
6s429.aig,13335,1448,1445,11726,419402
6s125.aig,4708,1041,260713,3126928,91
sm98tcas16multi.aig,279,7,1,310,5088
6s242.aig,1760,145,21,84925,1098221
6s265.aig,721,10868,3568,7139,112209
6s406.aig,208,122,10746,123785,159
6s326.aig,6287,28,3342,16256,31
bobtuintmulti.aig,213,32,212,2051,27
6s135.aig,177,380,40,2307,16746
6s117.aig,1048,8064,23957,542471,108
nusmvsyncarb5multi.aig,5,11,10,48,12
6s309.aig,352,154,9629,52717,28
6s400.aig,55,13784,14665,62630,30
6s408.aig,500,270,11384,152987,115
6s114.aig,1381,32210,101639,830817,143
6s327.aig,6285,33,3290,15906,31
bob12m08m.aig,79,132,1994,27069,103
6s258.aig,286,81,1,1790,21544
6s352.aig,1024,4,2,7316,80410
6s101.aig,113,6,973,6166,27
6s140.aig,158,2,1,4393,23354
6s301.aig,12097,569,35462,184500,29
6s289.aig,1085,10789,12707,115177,22
6s386.aig,18612,13,14094,158198,113
6s372.aig,74,33,1124,7490,63
6s306.aig,1055,25,7986,36156,46
6s244.aig,537,16,15,28263,244054
6s292.aig,125,247,3190,13748,34
6s176.aig,322,952,1566,49869,107
6s407.aig,201,371,11379,129624,117
bob12m07m.aig,25,53,1258,63503,136
6s419.aig,279,10,1,1653,20706
sm98tcas16tmulti.aig,279,7,1,310,5168
6s305.aig,1057,116,8000,36517,46
6s115.aig,1966,48,47,0,121495
6s322.aig,1586,896,80927,644738,108
6s343.aig,205,49,4774,43996,57
6s123.aig,207,16,8,34305,292168
6s391.aig,433,387,2686,13716,17
6s388.aig,177,16,3931,30251,32
6s402.aig,229,2944,13365,280487,150
bob12m14m.aig,25,106,1308,89254,178
6s261.aig,215,36,1,4162,42379
6s398.aig,47,25,25,9491,124
6s284.aig,192,2,2352,19561,44
6s413.aig,539,597,4343,53754,68
6s270.aig,45,3,291,3040,52
6s362.aig,13,3,1863,7955,34
6s110.aig,175,2226,613,807,16935
6s103.aig,1700,148,39,14641,333434
mentorbm1.aig,224,83,70,4376,31613
6s118.aig,452,102,2,13706,317968
bobsynthmulti.aig,224,14,3015,15384,76
6s421.aig,153,150,951,6294,75
6s404.aig,202,6,9801,126011,135
6s330.aig,1056,12,7728,64137,43
6s342.aig,2415,139,56838,334763,52
nusmvdme1d16multi.aig,288,120,321,1616,19
bob12m02m.aig,137,19,184,12600,37
6s113.aig,133,12,11,994,8673
6s251.aig,727,3,1,547,5883
bobmiterbm1multi.aig,122,1150,381,2571,22
6s384.aig,7415,816,14952,50399,29
6s380.aig,125,897,5606,39482,161
6s361.aig,3468,56211,186401,1932923,79
6s277.aig,844,673,3201,21568,33
6s381.aig,1210,932,12321,79513,47
6s167.aig,68,16,64,1511,66
6s259.aig,1237,254,10,42846,728201
6s116.aig,4912,17,4922,22649,29
6s387.aig,1121,409,29494,331746,30
6s282.aig,44,20,1933,19316,159
6s255.aig,107,18,1,766,5583
6s401.aig,229,304,12309,218057,150
6s275.aig,844,673,3196,21571,33
6s260.aig,218,37,2,2179,32501
6s385.aig,1060,494,10141,169624,6201
6s168.aig,34,16,98,2721,64
6s209.aig,464,2,5759,12041,30
6s250.aig,4187,1404,2,6185,40323
bob12m05m.aig,437,10,3956,46101,46
6s302.aig,9186,14,27776,100581,29
bobsynthnegmulti.aig,224,14,3015,15384,76
6s344.aig,553,158,10669,70591,49
sm98tcastmulti.aig,142,7,1,170,2726
bob12m04m.aig,23651,30228,43950,172107,17
6s141.aig,158,36,1,4393,23751
6s389.aig,177,14,3915,30277,32
6s355.aig,55,13356,15091,65416,30
6s143.aig,425,35,34,260,13928
nusmvdme2d16multi.aig,293,121,1,326,2525
6s111.aig,5508,4,2,0,341829
6s139.aig,4033,124,4,16230,267236
6s351.aig,4,22,3862,19779,35
6s311.aig,613,3,519,55738,498
bob12m18m.aig,57,163,261,2140,27
bob12m09m.aig,44,85,285,30250,897
6s335.aig,112,61,1658,9236,38
6s137.aig,647,589,32922,299551,147
bobmiterbm1negmulti.aig,122,1150,381,2571,22
6s40m.aig,249,3,5608,31026,38
6s169.aig,58,16,145,2802,64
6s266.aig,145,4,1602,17058,33
6s353.aig,3641,107,102390,622184,292
6s146.aig,237,68,15560,120000,27
6s428.aig,410,340,3790,22438,27
sm98tcasmulti.aig,142,7,1,170,2646
6s156.aig,201,32,513,13974,165
bob12m17m.aig,57,164,260,2123,20
6s332.aig,83041,157,83717,1238400,47
6s405.aig,196,874,11861,164004,115
pdtvsar8multip.aig,23,33,195,6956,53
bob12m16m.aig,13,62,115,626,17
6s256.aig,3686,6,1,3141,29814
6s281.aig,91099,90,177235,2076497,121
6s276.aig,843,673,3201,21568,33
6s340.aig,480,76,3337,42291,43
6s154.aig,193,32,128,18183,163
6s325.aig,634,301,1756,9782,23
6s317.aig,42,32,198,4849,43
6s166.aig,36,16,81,2705,65
nusmvdme1d3multi.aig,54,3,61,264,6
6s170.aig,3686,2,1,3141,29782
6s339.aig,365,68,1594,10856,152
6s299.aig,252041,960,467369,4120967,75
6s360.aig,5465,72,3,23056,377805
